Название скина,Боец,Редкость,Цена,Добавочная цена,Тематика,АРХИВНОСТЬ
Эль Атомико,Эль Примо,2,79,0,Пустоши,-
Эль Корасон,Эль Примо,2,79,0,День святого Валентина,-
Кленовый Барли,Барли,2,79,0,=,-
Алый Волшебник Барли,Барли,2,79,29,Clash of Clans,-
Рыцарь-Единорог Барли,Барли,2,79,0,Однажды в Бою,-
Пират Поко,Поко,2,79,0,Пираты,-
Хеллоуинская Роза,Роза,2,79,0,Хеллоуин,-
Летняя Джесси,Джесси,2,79,0,Лето в Суперсити,-
Санта Майк,Динамайк,2,79,0,Новый год,+
Краб Тик,Тик,2,79,0,Роботы и монстры,-
Снеговик Тик,Тик,2,79,0,Новый год,-
V8-Бит,8БИТ,2,79,0,Ретрополис,-
Светлячок Рико,Рико,2,79,0,Brawl Pass,-
Соевый Дэррил,Дэррил,2,79,0,Лунный новый год,+
Талисман Дэррил,Дэррил,2,79,0,Футбол,-
Помощница Пенни,Пенни,2,79,0,Новый год,+
Зайка Пенни,Пенни,2,79,0,Кроличья бригада,-
Тёмная Зайка Пенни,Пенни,2,79,29,Кроличья бригада,-
Всадник на кабане Карл,Карл,2,79,0,Clash of Clans,-
Безумный Карл,Карл,2,79,0,Ретрополис,-
Карл LEONARD,Карл,2,79,0,Brown&Friends,-
Джеки с подарками,Джеки,2,79,0,Новый год,-
Гас SALLY,Гас,2,79,0,Brown&Friends,-
Хо-Хо-Хо Бо,Бо,2,79,0,Новый год,-
Харадзюку Эмз,Эмз,2,79,0,Милота,-
Дикий Сту,Сту,2,79,0,Bad Randoms,-
Калавера Пайпер,Пайпер,2,79,0,Хеллоуин,+
Пайпер CHOCO,Пайпер,2,79,0,Brown&Friends,-
Пляжная Пэм,Пэм,2,79,0,Лето в Суперсити,-
Финансистка Пэм,Пэм,2,79,0,=,-
Пещерный Фрэнк,Фрэнк,2,79,0,=,-
Диджей Фрэнк,Фрэнк,2,79,0,=,-
ЗомБиби,Биби,2,79,0,Supercell Make,-
Мстительница Биби,Биби,2,79,0,=,-
Ужасная Биби,Биби,2,79,0,=,-
Нэко Беа,Беа,2,79,0,Милота,-
Архизлодейка Беа,Беа,2,79,0,Supercell Make,-
Колокольчик Нани,Нани,2,79,0,Кроличья бригада,-
Молниеносный Эдгар,Эдгар,2,79,0,Бандиты,-
Игровой автомат Грифф,Грифф,2,79,0,Лунный новый Год,-
Зайка Гром,Гром,2,79,0,Кроличья бригада,-
Навигатор Колетт,Колетт,2,79,0,Лунный новый Год,-
Колетт CONY,Колетт,2,79,0,Brown&Friends,-
Ядоитый Плющ Белль,Белль,2,79,0,Биокупол,-
Крампус Эш,Эш,2,79,0,Тёмный новый год,-
Галактическая Лола,Лола,2,79,0,Космические злодеи,-
Злой Клоун Сэм,Сэм,2,79,0,Странный Цирк,-
Пляжный Мортис,Мортис,2,79,0,Лето в Суперсити,-
Ниндзя Тара,Тара,2,79,0,Лунный новый Год,+
Пират Джин,Джин,2,79,0,Пираты,-
Болотный Джин,Джин,2,79,0,Хеллоуин,-
Стритстайл Макс,Макс,2,79,0,Роботы и монстры,-
Макс-Гермес,Макс,2,79,0,Легенды Олимпа,-
Леопард Макс,Макс,2,79,0,Герои боя в Джунглях,-
Пантера Макс,Макс,2,79,29,Герои боя в Джунглях,-
Граф Пингвула,Мистер П,2,79,0,Хеллоуин,-
Мистер Муха,Мистер П,2,79,0,Биокупол,-
Дарума Мистер П.,Мистер П,2,79,0,Милота,-
Изумрудный Принц Спраут,Спраут,2,79,0,Однажды в Бою,-
Рубиновый Принц Спраут,Спраут,2,79,0,Однажды в Бою,-
Мутант Спраут,Спраут,2,79,0,Биокупол,-
Призрак Скуик,Скуик,2,79,0,Хеллоуин,-
Картошка Скуик,Скуик,2,79,0,Клубная лига,-
Лунный заяц Скуик,Скуик,2,79,0,Лунные истории,-
Коммандо Скуик,Скуик,2,79,0,Экшен-герои,-
Стильный Лу,Лу,2,79,0,День святого Валентина,-
Бургер Лу,Лу,2,79,0,Закуска Старр,-
Шериф Гавс,Гавс,2,79,0,Бандиты,-
Осьминог Фэнг,Фэнг,2,79,0,Лига морских глубин,-
Поп-Звезда Джанет,Джанет,2,79,0,=,-
Детектив Грей,Грей,2,79,0,Лицензия на бой,-
"Детектив Грей: Версия ""Нуар""",Грей,2,79,29,Лицензия на бой,-
Скорпион Виллоу,Виллоу,2,79,0,Пустоши,-
Сакура Спайк,Спайк,2,79,0,Милота,-
Бревновогодний Спайк,Спайк,2,79,0,Новый год,-
Пиротехник Спайк,Спайк,2,79,0,Экстрим-Шоу,-
Белый Ворон,Ворон,2,79,0,=,-
Капитан Ворон,Ворон,2,79,0,Бравливуд,-
Акула Леон,Леон,2,79,0,Лето в Суперсити,-
Леон SALLY,Леон,2,79,0,Brown&Friends,-
Динозавр Леон,Леон,2,79,0,Лето в Суперсити,-
Хэллоуинский Леон,Леон,2,79,0,Хеллоуин,-
Сладкоежка Сэнди,Сэнди,2,79,0,Магазин сувениров,-
Жук Мэг,Мэг,2,79,0,Биокупол,-
Самодельный Вольт,Вольт,2,79,0,=,-
Вольт-Конг,Вольт,2,79,0,Бравливуд,-
Лесной Дух Честер,Честер,2,79,0,Зачарованный лес,-
Ведьма Шелли,Шелли,3,149,0,Хеллоуин,+
Танцовщица Шелли,Шелли,3,149,0,Пески времени,-
Бирюзовая Танцовщица Шелли,Шелли,3,149,?,Пески времени,-
Сиреневая Танцовщица Шелли,Шелли,3,149,?,Пески времени,-
Нита Красный нос,Нита,3,149,0,Новый год,+
Сиба-ину Нита,Нита,3,149,0,Милота,-
Нянь Нита,Нита,3,149,0,Ранговый бой,-
Гвардеец Кольт,Кольт,3,149,0,Лунный новый Год,+
Корсар Кольт,Кольт,3,149,0,Пираты,-
Дуэлянт Кольт,Кольт,3,149,0,Чемпионат Мира,+
Банановый Кольт,Кольт,3,149,0,Герои боя в джунглях,-
Тёмный Ангел Кольт,Кольт,3,149,0,Supercell Make,-
Астробык Булл,Булл,3,149,0,Лунный новый Год,-
Лев Булл,Булл,3,149,0,Клубная лига,-
Бродячий кот Булл,Булл,3,149,0,Лицензия на бой,-
Булл MANG,Булл,3,149,0,Brown&Friends,-
Кунг-Фу Брок,Брок,3,149,0,Лунный новый Год,-
Стритрейсер Брок,Брок,3,149,0,Ретрополис,-
Почтальон Брок,Брок,3,149,0,Ранговый бой,-
Брок BROWN,Брок,3,149,0,Brown&Friends,-
Эль Рей Примо,Эль Примо,3,149,0,=,-
Эль BROWN,Эль Примо,3,149,0,Brown&Friends,-
Эль Дракон Вердозо,Эль Примо,3,149,0,Однажды в бою,-
Эль Тигро,Эль Примо,3,149,0,Лунный новый Год,-
Эль Дракон Розадо,Эль Примо,3,149,0,Однажды в бою,-
Эль Акулёнок,Эль Примо,3,149,0,Скины Акулёнка,-
Барли с плюшками,Барли,3,149,0,Ретрополис,-
Великий Мастер Барли,Барли,3,149,0,Лунный новый Год,-
Менестрель Поко,Поко,3,149,0,День святого Валентина,-
Трэшер Поко,Поко,3,149,0,Bad Randoms,-
Десперадо Поко,Поко,3,149,0,Brawl Pass,-
Поко с видеозаписи,Поко,3,149,0,Происхождение парка Старр,-
Коко-Роза,Роза,3,149,0,Лето в Суперсити,-
Богомол Роза,Роза,3,149,0,Биокупол,-
Болельщица Роза,Роза,3,149,0,Академия Бравл,-
Драконоборец Джесси,Джесси,3,149,0,Однажды в бою,-
Тёмный Драконоборец Джесси,Джесси,3,149,39,Однажды в бою,-
Тануки Джесси,Джесси,3,149,0,Милота,-
Кошка-Воровка Джесси,Джесси,3,149,0,Чемпионат Мира,-
Майк-Повар,Динамайк,3,149,0,Закуска Старр,-
Тренер Майк,Динамайк,3,149,0,Футбол,-
Майк PSG,Динамайк,3,149,0,PSG,-
Классический Динамайк,Динамайк,3,0,0,Классические,-
Тэнгу Майк,Динамайк,3,149,0,Клан Аякаши,-
Султан Майк,Динамайк,3,149,0,Ранговый бой,-
Тик SHOOKY,Тик,3,149,0,BT21,-
8-БИТ из салуна,8-Бит,3,0,0,Brawl Pass,-
8-БИТ с привидениями,8-Бит,3,149,0,Зачарованный лес,-
Мажор Рико,Рико,3,149,0,=,-
Попкорн Рико,Рико,3,149,0,Бравливуд,-
Страж Рико,Рико,3,149,0,Пески времени,-
Цыпленок Рико,Рико,3,149,0,Клубная лига,-
Главный босс Рико,Рико,3,149,0,Ранговый бой,-
Мегаящик Дэррил,Дэррил,3,0,0,Мегаящик,+
Краш-Тестер Дэррил,Дэррил,3,149,0,Ранговый бой,-
Омегаящик Дэррил,Дэррил,3,0,0,Омегаящик,+
Кекс Дэррил,Дэррил,3,149,0,Страна Сладостей,-
Контрабандистка Пенни,Пенни,3,149,0,Ранговый бой,-
Хозяйка енотов Пенни,Пенни,3,149,0,Brawl Pass,-
Капитан Карл,Карл,3,149,0,Пираты,-
Тёмный корсар Карл,Карл,3,149,39,Пираты,-
Сёрфер Карл,Карл,3,0,0,Brawl Pass,+
Байкер Карл,Карл,3,149,0,Brawl Pass,-
Султан Карл,Карл,3,149,0,Пески времени,-
Ультрабурильщица Джеки,Джеки,3,149,0,Роботы и монстры,-
Аквабайкер Джеки,Джеки,3,149,0,Ранговый бой,-
Джеки COOKY,Джеки,3,149,0,BT21,-
Чемпион мира Гас,Гас,3,149,0,Чемпионат Мира,-
Бо-Гор,Бо,3,149,0,Supercell Make,-
Инфернальный Бо,Бо,3,149,0,Supercell Make,-
Оса Бо,Бо,3,149,0,Ранговый бой,-
Суперфанатка Эмз,Эмз,3,149,0,Магазин сувениров,-
Диджей 3.M.Z.,Эмз,3,149,0,Supercell Make,-
Всадник без головы Сту,Сту,3,149,0,Хеллоуин,-
Санта Сту,Сту,3,149,0,Новый год,-
Романтичная Пайпер,Пайпер,3,149,0,День святого Валентина,-
Лунная Пайпер,Пайпер,3,149,0,Лунные истории,-
Бабочка Пайпер,Пайпер,3,149,0,Ранговый бой,-
Карнавальная Пайпер,Пайпер,3,149,0,Карнавал,-
Новогодний Фрэнк,Фрэнк,3,149,0,Новый год,-
Призрачный Рыцарь Фрэнк,Фрэнк,3,149,0,Supercell Make,-
Героиня Биби,Биби,3,149,0,Лунный новый Год,+
Биби RJ,Биби,3,149,0,BT21,-
Зомби-Пиратка Биби,Биби,3,149,0,Проклятые пираты,-
Мегамуха Беа,Беа,3,149,0,Роботы и монстры,-
Золотая Нэко Беа,Беа,3,149,0,Милота,-
Нани SALLY,Нани,3,149,0,Brown&Friends,-
Орочи Эдгар,Эдгар,3,149,0,Лунный новый Год,-
Доктор Эдгар,Эдгар,3,149,0,Биокупол,-
Эдгар TATA,Эдгар,3,149,0,BT21,-
Олень Грифф,Грифф,3,149,0,Новый год,-
Затонувший сундук Грифф,Грифф,3,149,0,Проклятые пираты,-
ФранкенГром,Гром,3,149,0,Хеллоуин,-
Императрица Бонни,Бонни,3,149,0,Космические злодеи,-
Торговец Гэйл,Гэйл,3,0,0,Brawl Pass,+
Щелкунчик Гэйл,Гэйл,3,149,0,Supercell Make,-
Охотник за Скуиками Гэйл,Гэйл,3,149,0,Бравливуд,-
Малефисента Колетт,Колетт,3,0,0,Brawl Pass,+
Гладиатор Колетт,Колетт,3,149,0,Supercell Make,-
Кондуктор Колетт,Колетт,3,149,0,Ранговый бой,-
Пинку Мяулетт,Колетт,3,0,0,Brawl Pass,-
Кииро Мяулетт,Колетт,3,0,0,Brawl Pass,-
Мидори Мяулетт,Колетт,3,0,0,Brawl Pass,-
Белль Голдхэнд,Белль,3,0,0,Brawl Pass,+
Коралл Белль,Белль,3,149,0,Лига морских глубин,-
Ниндзя Эш,Эш,3,0,0,Brawl Pass,+
Печь для пиццы Эш,Эш,3,149,0,Закуска Старр,-
Пиньята Эш,Эш,3,149,0,Ранговый бой,-
Бунтарка Лола,Лола,3,0,0,Brawl Pass,+
Кицуне Лола,Лола,3,149,0,Клан Аякаши,-
Лихая Лола,Лола,3,149,0,Ранговый бой,-
Кобра Лола,Лола,3,149,0,Ранговый бой,-
Модная Лола,Лола,3,149,0,Ретрополис,-
Цезарь Сэм,Сэм,3,149,0,Brawl Pass,-
Йети Сэм,Сэм,3,149,0,Тёмный новый год,-
Магмовая Мэнди,Мэнди,3,149,0,Brawl Pass,-
Ханбок Мэнди,Мэнди,3,149,0,Щедрый урожай,-
Королева джунглей Мэйси,Мэйси,3,0,0,Brawl Pass,-
Мародёрка Мэйси,Мэйси,3,149,0,Ранговый бой,-
Перл с перископом,Перл,3,0,0,Brawl Pass,-
Рокабильщик Мортис,Мортис,3,149,0,Ретрополис,-
Ночная Ведьма Мортис,Мортис,3,149,0,Clash of Clans,-
Коварный Мортис,Мортис,3,149,0,Пески времени,-
Хоккеист Мортис,Мортис,3,149,0,Чемпионат Мира,-
Бедовая Тара,Тара,3,149,0,Бандиты,-
Кочевница Тара,Тара,3,149,0,Пески времени,-
Яростная Тара,Тара,3,149,0,Чемпионат Мира,-
Злой Джин,Джин,3,149,0,Пески времени,-
Макс CONY,Макс,3,149,0,Brown&Friends,-
Лунный Спраут,Спраут,3,149,0,Лунные истории,-
Волшебник Байрон,Байрон,3,149,0,Ранговый бой,-
Повелитель Байрон,Байрон,3,149,0,Космические злодеи,-
Ботаник Скуик,Скуик,3,149,0,Академия Бравл,-
Король Лу,Лу,3,0,0,Brawl Pass,+
Каменный Тролль Лу,Лу,3,149,0,Ранговый бой,-
Ронин Гавс,Гавс,3,0,0,Brawl Pass,+
Гавс CHIMMY,Гавс,3,149,0,BT21,-
Плохиш Базз,Базз,3,0,0,Brawl Pass,+
Баззетта,Базз,3,149,0,Конфетная страна,-
Режиссёр Базз,Базз,3,149,0,Ранговый бой,-
Фенрир Базз,Базз,3,0,0,Brawl Pass,-
Тёмный Фенрир Базз,Базз,3,0,0,Brawl Pass,-
Красный Фенрир Базз,Базз,3,0,0,Brawl Pass,-
Неистовый Фэнг,Фэнг,3,0,0,Brawl Pass,+
Фэнг с тыквой,Фэнг,3,149,0,Supercell Make,-
Свирепый Фэнг,Фэнг,3,149,0,Лунный новый Год,-
Красный питчер Фэнг,Фэнг,3,149,0,Супер Бравл,-
Синий питчер Фэнг,Фэнг,3,149,0,Супер Бравл,-
Колючая Ева,Ева,3,149,0,Brawl Pass,-
Байкерша Ева,Ева,3,149,0,Лунный новый Год,-
Валькирия Джанет,Джанет,3,149,0,Brawl Pass,-
Тёмная Фея Джанет,Джанет,3,149,0,Зачарованный лес,-
ФараОтис,Отис,3,149,0,Brawl Pass,-
Они Отис,Отис,3,149,0,Клан Аякаши,-
Победитель Отис,Отис,3,149,0,Чемпионат Мира,-
Бастер с Бензопилой,Бастер,3,149,0,Brawl Pass,-
Крокодил Бастер,Бастер,,,,,
