Skin Name,Brawler,Rarity,Price,Price+,Theme,Archivity
Touchdown Bull,Bull,2,79,0,Super Brawl,-
Linebacker Bull,Bull,2,79,29,Super Brawl,-
Viking Bull,Bull,2,79,0,Northern Saga,-
Beach Brock,Brock,2,79,0,Summer of Brawl,-
Boom Box Brock,Brock,2,79,0,Vibing,-
El Rudo Primo,El Primo,2,79,0,Misc,-
El Atomico,El Primo,2,79,0,Wasteland,-
El Corazon,El Primo,2,79,0,My Brawlentine,-
Maple Barley,Barley,2,79,0,Starry Meal,-
Red Wizard Barley,Barley,2,79,29,Clash of Clans,-
Unicorn Knight Barley,Barley,2,79,0,Once Upon,-
Пират Poco,Poco,2,79,0,Tales of the Sea,-
Хеллоуинская Rosa,Rosa,2,79,0,Halloween,-
Летняя Jessie,Jessie,2,79,0,Summer of Brawl,-
Santa Mike,Dynamike,2,79,0,Brawlidays,+
Краб Tick,Tick,2,79,0,Max Force,-
Снеговик Tick,Tick,2,79,0,Brawlidays,-
V8-BIT,8-BIT,2,79,0,Retropolis,-
Светлячок Rico,Rico,2,79,0,Brawl Pass,-
Dumpling Darryl,Darryl,2,79,0,Lunar Brawl,+
Mascot Darryl,Darryl,2,79,0,Golden Brawl Ball,-
Помощница Penny,Penny,2,79,0,Brawlidays,+
Зайка Penny,Penny,2,79,0,Bunny Brigade,-
Тёмная Зайка Penny,Penny,2,79,29,Bunny Brigade,-
Hog Rider Carl,Carl,2,79,0,Clash of Clans,-
Road Rage Carl,Carl,2,79,0,Retropolis,-
Carl LEONARD,Carl,2,79,0,BROWN&FRIENDS,-
Jacky с подарками,Jacky,2,79,0,Brawlidays,-
Gus SALLY,Gus,2,79,0,BROWN&FRIENDS,-
Ho Ho Ho Bo,Bo,2,79,0,Brawlidays,-
Харадзюку Emz,Emz,2,79,0,The Golden Kawaii,-
Дикий Stu,Stu,2,79,0,Bad Randoms,-
Калавера Piper,Piper,2,79,0,Halloween,+
Piper CHOCO,Piper,2,79,0,BROWN&FRIENDS,-
Пляжная Pam,Pam,2,79,0,Summer of Brawl,-
Финансистка Pam,Pam,2,79,0,City troubles,-
Пещерный Frank,Frank,2,79,0,Misc,-
Диджей Frank,Frank,2,79,0,Vibing,-
ZomBibi,Bibi,2,79,0,Supercell Make,-
Bibilante,Bibi,2,79,0,Max Force,-
Vicious Bibi,Bibi,2,79,0,Bad Randoms,-
Neko Bea,Bea,2,79,0,The Golden Kawaii,-
Archvillain Bea,Bea,2,79,0,Supercell Make,-
Колокольчик Nani,Nani,2,79,0,Bunny Brigade,-
Quickdraw Edgar,Edgar,2,79,0,Outlaws,-
Игровой автомат Griff,Griff,2,79,0,Lunar Brawl,-
Зайка Grom,Grom,2,79,0,Bunny Brigade,-
Navigator Colette,Colette,2,79,0,Lunar Brawl,-
Colette CONY,Colette,2,79,0,BROWN&FRIENDS,-
Ivy Belle,Belle,2,79,0,Biodome,-
Krampus Ash,Ash,2,79,0,Dark Winter Tales,-
Галактическая Lola,Lola,2,79,0,The Worst Bunch,-
Злой Клоун Sam,Sam,2,79,0,Bizzare Circus,-
Пляжный Mortis,Mortis,2,79,0,Summer of Brawl,-
Ниндзя Tara,Tara,2,79,0,Lunar Brawl,+
Пират Gene,Gene,2,79,0,Tales of the Sea,-
Болотный Gene,Gene,2,79,0,Halloween,-
Стритстайл Max,Max,2,79,0,Max Force,-
Max-Гермес,Max,2,79,0,Legends of Olymp,-
Леопард Max,Max,2,79,0,Rumble Jungle Heroes,-
Пантера Max,Max,2,79,29,Rumble Jungle Heroes,-
Граф Пингвула,Mr. P,2,79,0,Halloween,-
Мистер Муха,Mr. P,2,79,0,Biodome,-
Дарума Mr. P,Mr. P,2,79,0,The Golden Kawaii,-
Изумрудный Принц Sprout,Sprout,2,79,0,Once Upon,-
Рубиновый Принц Sprout,Sprout,2,79,0,Once Upon,-
Мутант Sprout,Sprout,2,79,0,Biodome,-
Призрак Squeak,Squeak,2,79,0,Halloween,-
Картошка Squeak,Squeak,2,79,0,Club League,-
Лунный заяц Squeak,Squeak,2,79,0,Lunar Stories,-
Коммандо Squeak,Squeak,2,79,0,Max Force,-
Стильный Lou,Lou,2,79,0,My Brawlentine,-
Бургер Lou,Lou,2,79,0,Starry Meal,-
Шериф Ruffs,Ruffs,2,79,0,Outlaws,-
Осьминог Fang,Fang,2,79,0,Deep sea league,-
Поп-Звезда Janet,Janet,2,79,0,Vibing,-
Детектив Gray,Gray,2,79,0,License to Brawl,-
"Детектив Gray: Версия ""Нуар""",Gray,2,79,29,License to Brawl,-
Скорпион Willow,Willow,2,79,0,Wasteland,-
Сакура Spike,Spike,2,79,0,The Golden Kawaii,-
Бревновогодний Spike,Spike,2,79,0,Brawlidays,-
Пиротехник Spike,Spike,2,79,0,Stunt Show,-
White Crow,Crow,2,79,0,Misc,-
Captain Crow,Crow,2,79,0,Starrs of Brawlywood,-
Акула Leon,Leon,2,79,0,Summer of Brawl,-
Leon SALLY,Leon,2,79,0,BROWN&FRIENDS,-
Динозавр Leon,Leon,2,79,0,Summer of Brawl,-
Хэллоуинский Leon,Leon,2,79,0,Halloween,-
Сладкоежка Sandy,Sandy,2,79,0,Gift Shop,-
Жук Meg,Meg,2,79,0,Biodome,-
Самодельный Surge,Surge,2,79,0,Misc,-
Surge-Конг,Surge,2,79,0,Starrs of Brawlywood,-
Wood Spirit Chester,Chester,2,79,0,Enchanted woods,-
Wizard Barley,Barley,2,79,0,Clash of Clans,-
Ведьма Shelly,Shelly,3,149,0,Halloween,+
Танцовщица Shelly,Shelly,3,149,0,Brawl Pass,-
Бирюзовая Танцовщица Shelly,Shelly,3,149,?,Brawl Pass,-
Сиреневая Танцовщица Shelly,Shelly,3,149,?,Brawl Pass,-
Nita Красный нос,Nita,3,149,0,Brawlidays,+
Сиба-ину Nita,Nita,3,149,0,The Golden Kawaii,-
Нянь Nita,Nita,3,149,0,Ranked League,-
Royal Agent Colt,Colt,3,149,0,Lunar Brawl,+
Corsair Colt,Colt,3,149,0,Tales of the Sea,-
Challenger Colt,Colt,3,149,0,World Championship,+
Bananas Colt,Colt,3,149,0,Rumble Jungle Heroes,-
Dark Angel Colt,Colt,3,149,0,Supercell Make,-
Space Ox Bull,Bull,3,149,0,Lunar Brawl,-
Lion Bull,Bull,3,149,0,Club League,-
Alleycat Bull,Bull,3,149,0,License to Brawl,-
Bull MANG,Bull,3,149,0,BROWN&FRIENDS,-
Lion Dance Brock,Brock,3,149,0,Lunar Brawl,-
Hot Rod Brock,Brock,3,149,0,Retropolis,-
Postal Brock,Brock,3,149,0,Ranked League,-
Brock BROWN,Brock,3,149,0,BROWN&FRIENDS,-
El Rey Primo,El Primo,3,149,0,Royals,-
El BROWN,El Primo,3,149,0,BROWN&FRIENDS,-
El Dragon Verdoso,El Primo,3,149,0,Once Upon,-
El Tigro,El Primo,3,149,0,Lunar Brawl,-
El Dragon Rosado,El Primo,3,149,0,Once Upon,-
El Baby Shark,El Primo,3,149,0,Baby Shark Skins,-
Bakesale Barley,Barley,3,149,0,Retropolis,-
Sway Master Barley,Barley,3,149,0,Lunar Brawl,-
Менестрель Poco,Poco,3,149,0,My Brawlentine,-
Трэшер Poco,Poco,3,149,0,Bad Randoms,-
Десперадо Poco,Poco,3,149,0,Brawl Pass,-
Poco с видеозаписи,Poco,3,149,0,Starr Park Origins,-
Коко-Rosa,Rosa,3,149,0,Summer of Brawl,-
Богомол Rosa,Rosa,3,149,0,Biodome,-
Болельщица Rosa,Rosa,3,149,0,Brawl Academy,-
Драконоборец Jessie,Jessie,3,149,0,Once Upon,-
Тёмный Драконоборец Jessie,Jessie,3,149,39,Once Upon,-
Тануки Jessie,Jessie,3,149,0,The Golden Kawaii,-
Кошка-Воровка Jessie,Jessie,3,149,0,World Championship,-
Spicy Mike,Dynamike,3,149,0,Starry Meal,-
Coach Mike,Dynamike,3,149,0,Golden Brawl Ball,-
Mike PSG,Dynamike,3,149,0,PSG,-
Classic Dynamike,Dynamike,3,0,0,Anniversary,-
Tengu Mike,Dynamike,3,149,0,The Ayakashi Clan,-
Dynasty Mike,Dynamike,3,149,0,Ranked League,-
Tick SHOOKY,Tick,3,149,0,BT21,-
Saloon 8-BIT,8-BIT,3,0,0,Brawl Pass,-
Haunted House 8-BIT,8-BIT,3,149,0,Enchanted woods,-
Мажор Rico,Rico,3,149,0,Royals,-
Попкорн Rico,Rico,3,149,0,Starrs of Brawlywood,-
Страж Rico,Rico,3,149,0,Sands of Time,-
Цыпленок Rico,Rico,3,149,0,Club League,-
Главный босс Rico,Rico,3,149,0,Ranked League,-
Mega Box Darryl,Darryl,3,0,0,Megabox,+
Crash Test Darryl,Darryl,3,149,0,Ranked League,-
Omega Box Darryl,Darryl,3,0,0,Omegabox,+
Cupcake Darryl,Darryl,3,149,0,Candyland,-
Контрабандистка Penny,Penny,3,149,0,Ranked League,-
Хозяйка енотов Penny,Penny,3,149,0,Brawl Pass,-
Captain Carl,Carl,3,149,0,Tales of the Sea,-
Dark Tide Carl,Carl,3,149,39,Tales of the Sea,-
Surfer Carl,Carl,3,0,0,Brawl Pass,+
Biker Carl,Carl,3,149,0,Brawl Pass,-
Sultan Carl,Carl,3,149,0,Sands of Time,-
Ультрабурильщица Jacky,Jacky,3,149,0,Max Force,-
Аквабайкер Jacky,Jacky,3,149,0,Ranked League,-
Jacky COOKY,Jacky,3,149,0,BT21,-
Чемпион мира Gus,Gus,3,149,0,World Championship,-
Chorus Bo,Bo,3,149,0,Supercell Make,-
Underworld Bo,Bo,3,149,0,Supercell Make,-
Wasp Bo,Bo,3,149,0,Ranked League,-
Суперфанатка Emz,Emz,3,149,0,Gift Shop,-
Диджей 3.M.Z.,Emz,3,149,0,Supercell Make,-
Всадник без головы Stu,Stu,3,149,0,Halloween,-
Санта Stu,Stu,3,149,0,Brawlidays,-
Романтичная Piper,Piper,3,149,0,My Brawlentine,-
Лунная Piper,Piper,3,149,0,Lunar Stories,-
Бабочка Piper,Piper,3,149,0,Ranked League,-
Карнавальная Piper,Piper,3,149,0,Brawlnaval,-
Новогодний Frank,Frank,3,149,0,Brawlidays,-
Призрачный Рыцарь Frank,Frank,3,149,0,Supercell Make,-
Heroine Bibi,Bibi,3,149,0,Lunar Brawl,+
Bibi RJ,Bibi,3,149,0,BT21,-
Cursed Pirate Bibi,Bibi,3,149,0,Cursed Pirates,-
Mega Beetle Bea,Bea,3,149,0,Max Force,-
True Gold Neko Bea,Bea,3,149,0,The Golden Kawaii,-
Nani SALLY,Nani,3,149,0,BROWN&FRIENDS,-
Orochi Edgar,Edgar,3,149,0,Lunar Brawl,-
Doctor Edgar,Edgar,3,149,0,Biodome,-
Edgar TATA,Edgar,3,149,0,BT21,-
Олень Griff,Griff,3,149,0,Brawlidays,-
Затонувший сундук Griff,Griff,3,149,0,Cursed Pirates,-
ФранкенГром,Grom,3,149,0,Halloween,-
Empress!! Bonnie,Bonnie,3,149,0,The Worst Bunch,-
Торговец Gale,Gale,3,0,0,Brawl Pass,+
Щелкунчик Gale,Gale,3,149,0,Supercell Make,-
Охотник за Скуиками Gale,Gale,3,149,0,Starrs of Brawlywood,-
Trixie Colette,Colette,3,0,0,Brawl Pass,+
Gladiator Colette,Colette,3,149,0,Supercell Make,-
Inspector Colette,Colette,3,149,0,Ranked League,-
Pinku Pawlette,Colette,3,0,0,Brawl Pass,-
Kiiro Pawlette,Colette,3,0,0,Brawl Pass,-
Midori Pawlette,Colette,3,0,0,Brawl Pass,-
Belle Goldhand,Belle,3,0,0,Brawl Pass,+
Coral Belle,Belle,3,149,0,Deep sea league,-
Ninja Ash,Ash,3,0,0,Brawl Pass,+
Pizza Oven Ash,Ash,3,149,0,Starry Meal,-
Pinata Ash,Ash,3,149,0,Ranked League,-
Бунтарка Lola,Lola,3,0,0,Brawl Pass,+
Кицуне Lola,Lola,3,149,0,The Ayakashi Clan,-
Лихая Lola,Lola,3,149,0,Ranked League,-
Кобра Lola,Lola,3,149,0,Ranked League,-
Модная Lola,Lola,3,149,0,Retropolis,-
Цезарь Sam,Sam,3,149,0,Brawl Pass,-
Йети Sam,Sam,3,149,0,Dark Winter Tales,-
Магмовая Mandy,Mandy,3,149,0,Brawl Pass,-
Ханбок Mandy,Mandy,3,149,0,Bountiful Harvest,-
Королева джунглей Maisie,Maisie,3,0,0,Brawl Pass,-
Мародёрка Maisie,Maisie,3,149,0,Ranked League,-
Pearl с перископом,Pearl,3,0,0,Brawl Pass,-
Рокабильщик Mortis,Mortis,3,149,0,Retropolis,-
Ночная Ведьма Mortis,Mortis,3,149,0,Clash of Clans,-
Коварный Mortis,Mortis,3,149,0,Sands of Time,-
Хоккеист Mortis,Mortis,3,149,0,World Championship,-
Бедовая Tara,Tara,3,149,0,Outlaws,-
Кочевница Tara,Tara,3,149,0,Sands of Time,-
Яростная Tara,Tara,3,149,0,World Championship,-
Злой Gene,Gene,3,149,0,Sands of Time,-
Max CONY,Max,3,149,0,BROWN&FRIENDS,-
Лунный Sprout,Sprout,3,149,0,Lunar Stories,-
Wizard Byron,Byron,3,149,0,Ranked League,+
Overlord Byron,Byron,3,149,0,The Worst Bunch,-
Ботаник Squeak,Squeak,3,149,0,Brawl Academy,-
Король Lou,Lou,3,0,0,Brawl Pass,+
Каменный Тролль Lou,Lou,3,149,0,Ranked League,-
Ронин Ruffs,Ruffs,3,0,0,Brawl Pass,+
Ruffs CHIMMY,Ruffs,3,149,0,BT21,-
Born Bad Buzz,Buzz,3,0,0,Brawl Pass,+
Buzzette,Buzz,3,149,0,Candyland,-
Director Buzz,Buzz,3,149,0,Ranked League,+
Fenrir Buzz,Buzz,3,0,0,Brawl Pass,-
Mork Fenrir Buzz,Buzz,3,0,0,Brawl Pass,-
Eldr Fenrir Buzz,Buzz,3,0,0,Brawl Pass,-
Неистовый Fang,Fang,3,0,0,Brawl Pass,+
Fang с тыквой,Fang,3,149,0,Supercell Make,-
Свирепый Fang,Fang,3,149,0,Lunar Brawl,-
Красный питчер Fang,Fang,3,149,0,Super Brawl,-
Синий питчер Fang,Fang,3,149,0,Super Brawl,-
Колючая Eve,Eve,3,149,0,Brawl Pass,-
Байкерша Eve,Eve,3,149,0,Lunar Brawl,-
